Id,PESEL_uzytkownika,Nr_rejestracyjny_pojazdu,Data_rozpoczecia,Data_zakonczenia,Godzina_rozpoczecia,Godzina_zakonczenia,Miejsce_rozpoczecia,Miejsce_zakonczenia,Dystans,Ocena_przejazdu,Ocena_techniki_jazdy,Ocena_przestrzegania_przepisow_drogowych,Mnoznik_ceny,Koszt_przejazdu
0,100000000001,WEJHEROWO,2002-07-25,2003-06-16,23:00:44,06:48:28,BLE,ble,9.11,14.3,5.17,9.13,2.04,103.122
1,100000000004,WEJHEROWO,2002-02-17,2002-08-26,20:56:45,16:28:08,BLE,ble,9.56,8.5,1.15,7.35,1.21,63.888000000000005
2,100000000009,WEJHEROWO,2002-07-13,2005-02-17,05:05:59,11:47:49,BLE,ble,3.29,13.67,6.77,6.9,1.95,41.8275
3,100000000007,WEJHEROWO,2002-07-03,2005-03-12,04:51:40,07:22:05,BLE,ble,1.97,11.91,7.08,4.83,1.7,25.244999999999997
4,100000000009,WEJHEROWO,2001-02-18,2001-04-03,22:13:26,11:42:19,BLE,ble,3.69,10.92,4.76,6.16,1.56,36.582
5,100000000003,WEJHEROWO,2001-04-29,2003-05-19,14:28:10,08:05:55,BLE,ble,3.31,15.1,7.59,7.51,2.16,46.548
6,100000000001,WEJHEROWO,2002-01-16,2003-10-05,09:34:50,17:30:46,BLE,ble,3.27,10.08,2.35,7.73,1.44,30.744
7,100000000009,WEJHEROWO,2002-04-25,2002-11-01,07:26:37,20:41:54,BLE,ble,4.71,6.24,4.49,1.75,0.89,25.4095
8,100000000000,WEJHEROWO,2001-12-16,2003-10-14,10:23:50,05:19:37,BLE,ble,5.96,5.93,2.8,3.13,0.85,29.58
9,100000000009,WEJHEROWO,2001-06-16,2001-11-15,13:56:41,23:55:12,BLE,ble,8.4,8.78,3.79,4.99,1.25,58.75
10,100000000009,WEJHEROWO,2002-06-18,2003-05-18,01:23:07,08:23:48,BLE,ble,7.56,9.97,4.74,5.23,1.42,60.775999999999996
11,100000000006,WEJHEROWO,2002-02-06,2004-11-23,13:01:59,23:31:28,BLE,ble,2.57,8.79,1.49,7.3,1.26,22.491000000000003
12,100000000009,WEJHEROWO,2001-03-12,2001-09-30,08:56:46,08:42:30,BLE,ble,5.44,17.71,8.35,9.36,2.53,81.466
13,100000000006,WEJHEROWO,2001-02-18,2003-03-14,19:05:40,12:32:33,BLE,ble,6.53,2.42,1.22,1.2,0.35,13.177499999999998
14,100000000007,WEJHEROWO,2002-07-06,2003-08-12,05:00:26,17:09:43,BLE,ble,7.59,5.25,3.24,2.01,0.75,32.212500000000006
15,100000000008,WEJHEROWO,2001-04-07,2001-07-30,02:33:42,06:38:22,BLE,ble,2.69,7.0,4.26,2.74,1.0,18.45
16,100000000002,WEJHEROWO,2001-02-03,2001-05-06,15:23:52,11:04:09,BLE,ble,8.39,6.64,3.04,3.6,0.95,44.6025
17,100000000000,WEJHEROWO,2002-12-28,2003-09-01,01:57:53,14:50:43,BLE,ble,6.89,10.66,8.32,2.34,1.52,59.96399999999999
18,100000000005,WEJHEROWO,2002-10-08,2005-04-08,04:52:51,22:44:44,BLE,ble,1.53,6.05,3.94,2.11,0.86,10.879
19,100000000002,WEJHEROWO,2001-01-01,2003-03-20,05:53:37,08:04:06,BLE,ble,6.89,9.75,7.1,2.65,1.39,54.83549999999999
20,100000000004,WEJHEROWO,2002-01-24,2003-04-12,17:32:47,12:34:29,BLE,ble,1.1,6.08,5.07,1.01,0.87,9.135
21,100000000002,WEJHEROWO,2001-03-27,2001-11-12,03:43:15,20:45:58,BLE,ble,8.42,8.14,2.61,5.53,1.16,54.635999999999996
22,100000000001,WEJHEROWO,2001-05-31,2003-01-18,20:09:18,07:10:23,BLE,ble,3.95,13.02,3.17,9.85,1.86,46.035000000000004
23,100000000006,WEJHEROWO,2001-05-17,2002-04-11,06:01:15,04:24:12,BLE,ble,5.27,13.66,9.81,3.85,1.95,61.13249999999999
24,100000000000,WEJHEROWO,2002-10-02,2004-11-14,21:35:19,18:25:53,BLE,ble,1.26,14.01,9.59,4.42,2.0,22.6
25,100000000008,WEJHEROWO,2002-10-08,2004-12-08,08:16:03,07:14:34,BLE,ble,2.24,5.42,2.86,2.56,0.77,12.474000000000002
26,100000000009,WEJHEROWO,2001-03-17,2002-06-16,02:39:30,07:14:43,BLE,ble,8.51,9.69,6.31,3.38,1.38,65.61899999999999
27,100000000005,WEJHEROWO,2001-02-25,2003-05-12,23:28:59,02:17:03,BLE,ble,7.2,9.47,2.8,6.67,1.35,55.35
28,100000000002,WEJHEROWO,2002-03-06,2003-03-07,07:06:25,16:57:18,BLE,ble,4.48,14.6,6.68,7.92,2.09,57.266
29,100000000009,WEJHEROWO,2002-03-24,2002-12-25,16:50:45,09:39:50,BLE,ble,5.24,14.21,6.09,8.12,2.03,63.336
30,100000000004,WEJHEROWO,2001-03-16,2003-01-27,04:09:37,08:18:36,BLE,ble,9.42,13.46,4.33,9.13,1.92,100.032
31,100000000002,WEJHEROWO,2002-08-22,2003-07-28,09:10:44,05:43:39,BLE,ble,2.18,13.34,9.09,4.25,1.91,30.369
32,100000000005,WEJHEROWO,2002-03-27,2003-07-23,18:43:33,14:07:18,BLE,ble,6.02,7.02,4.62,2.4,1.0,35.099999999999994
33,100000000003,WEJHEROWO,2002-08-24,2004-01-10,07:46:12,11:12:03,BLE,ble,9.48,13.13,6.06,7.07,1.88,98.512
34,100000000008,WEJHEROWO,2001-08-15,2001-10-17,05:25:37,09:53:17,BLE,ble,5.48,14.66,6.52,8.14,2.09,67.71600000000001
35,100000000002,WEJHEROWO,2001-11-16,2002-02-17,12:38:39,06:41:01,BLE,ble,4.15,8.61,2.27,6.34,1.23,31.6725
36,100000000003,WEJHEROWO,2001-10-10,2002-11-23,18:26:27,15:22:22,BLE,ble,2.36,9.64,6.65,2.99,1.38,23.183999999999994
37,100000000005,WEJHEROWO,2002-04-22,2003-09-16,16:16:28,18:50:13,BLE,ble,6.21,6.06,1.11,4.95,0.87,31.3635
38,100000000002,WEJHEROWO,2002-01-22,2004-08-20,23:02:53,22:39:04,BLE,ble,4.93,18.11,9.65,8.46,2.59,76.7935
39,100000000002,WEJHEROWO,2001-05-27,2002-05-18,21:11:52,09:24:29,BLE,ble,4.32,18.44,9.37,9.07,2.63,69.958
40,100000000000,WEJHEROWO,2002-09-27,2002-12-27,13:04:28,02:17:40,BLE,ble,6.79,17.25,9.11,8.14,2.46,95.81700000000001
41,100000000009,WEJHEROWO,2002-10-28,2005-08-28,11:03:36,23:44:13,BLE,ble,9.87,10.39,3.23,7.16,1.48,80.43799999999999
42,100000000002,WEJHEROWO,2001-03-04,2003-04-15,07:20:25,09:15:21,BLE,ble,4.31,3.75,1.39,2.36,0.54,14.337
43,100000000003,WEJHEROWO,2002-03-29,2003-10-28,14:43:19,08:29:41,BLE,ble,5.25,14.42,6.47,7.95,2.06,64.375
44,100000000005,WEJHEROWO,2002-02-04,2004-02-07,21:53:17,03:02:39,BLE,ble,3.63,15.68,9.84,5.84,2.24,51.856
45,100000000004,WEJHEROWO,2002-07-14,2003-06-18,19:05:47,01:30:54,BLE,ble,1.05,9.21,3.49,5.72,1.32,13.530000000000001
46,100000000001,WEJHEROWO,2001-04-04,2002-05-23,23:28:33,13:42:06,BLE,ble,9.27,11.65,2.67,8.98,1.66,85.24099999999999
47,100000000000,WEJHEROWO,2001-06-28,2004-01-31,07:07:49,18:52:46,BLE,ble,3.66,3.4,2.09,1.31,0.49,11.417
48,100000000006,WEJHEROWO,2001-07-31,2003-01-12,07:18:54,18:09:19,BLE,ble,1.63,8.64,7.62,1.02,1.23,16.1745
49,100000000009,WEJHEROWO,2002-07-29,2002-12-22,06:39:31,12:18:08,BLE,ble,8.14,15.28,7.26,8.02,2.18,99.62600000000002
50,100000000007,WEJHEROWO,2002-08-27,2005-07-20,16:58:22,17:21:41,BLE,ble,1.09,7.52,5.14,2.38,1.07,11.1815
51,100000000000,WEJHEROWO,2001-12-24,2002-04-10,04:00:09,09:14:46,BLE,ble,3.09,12.71,7.56,5.15,1.82,37.219
52,100000000008,WEJHEROWO,2002-05-20,2002-07-12,15:06:20,04:36:45,BLE,ble,5.82,7.51,1.08,6.43,1.07,36.487
53,100000000004,WEJHEROWO,2002-03-06,2002-04-21,13:13:06,07:50:52,BLE,ble,7.06,12.19,9.03,3.16,1.74,70.122
54,100000000003,WEJHEROWO,2001-12-28,2003-12-25,00:32:05,02:06:11,BLE,ble,5.65,8.14,6.22,1.92,1.16,38.57
55,100000000005,WEJHEROWO,2001-01-15,2001-06-14,10:05:32,17:46:26,BLE,ble,7.02,17.41,7.77,9.64,2.49,99.84899999999999
56,100000000006,WEJHEROWO,2002-11-12,2003-09-10,02:21:27,00:12:25,BLE,ble,5.47,15.6,6.81,8.79,2.23,72.14049999999999
57,100000000001,WEJHEROWO,2002-10-24,2004-08-03,01:16:27,14:19:07,BLE,ble,7.47,10.94,9.48,1.46,1.56,66.066
58,100000000004,WEJHEROWO,2002-12-14,2005-08-30,22:24:31,10:54:04,BLE,ble,2.04,18.55,9.14,9.41,2.65,40.279999999999994
59,100000000007,WEJHEROWO,2001-06-24,2003-09-27,15:38:50,15:54:20,BLE,ble,4.88,4.0,1.72,2.28,0.57,16.758
60,100000000009,WEJHEROWO,2002-06-25,2003-08-02,06:49:26,19:46:53,BLE,ble,6.84,12.6,6.23,6.37,1.8,70.56
