PESEL,Imie,Nazwisko,Plec,Data_urodzenia,Data_uzyskania_prawa_jazdy
100000000000,Danny,Dodson,Mezczyzna,"('06-10-1938',)","('04-10-1970',)"
100000000001,Madison,Mitchell,Kobieta,"('13-10-1937',)","('20-05-2006',)"
100000000002,Monique,Robinson,Kobieta,"('15-03-1979',)","('27-05-1979',)"
100000000003,Jessica,Contreras,Kobieta,"('25-03-1984',)","('23-12-2013',)"
100000000004,Rachel,Jackson,Kobieta,"('28-01-1966',)","('09-06-2014',)"
100000000005,Arthur,Pierce,Kobieta,"('24-04-1985',)","('13-01-2012',)"
100000000006,Savannah,Cook,Mezczyzna,"('11-08-1954',)","('06-07-1980',)"
100000000007,Dustin,Young,Mezczyzna,"('07-04-2000',)","('18-02-2017',)"
100000000008,Jennifer,Wilson,Mezczyzna,"('21-07-2005',)","('15-02-1975',)"
100000000009,Allison,Castillo,Kobieta,"('23-09-1968',)","('11-08-1969',)"
